nId	nNpcTID	szTitle	nAnswerId	szA1	szA2	szA3	szA4
27	1968	Trong tiểu thuyết Kim Dung, Trung Thần Thông là chỉ ai?	1	Vương Trùng Dương	Châu Bá Thông	Hoàng Lão Tà	Khác
28	1968	Phiên bản đầu tiên của Võ Lâm Truyền Kỳ Mobile tên là gì?	2	Sơn Hà Xã Tắc	Công Thành Chiến	Hoa Sơn Luận Kiếm	Tình Nghĩa Giang Hồ
29	1968	Vật phẩm Mã Bài không thể dùng để làm gì?	3	Đổi Thú cưới	Tiến cấp Thú cưỡi	Bán vào Cửa Hàng	Bày Bán
30	1968	Cách nào sau đây không thể tăng cao kinh nghiệm Luyện Công Ngoài Thành?	4	Tăng thân mật hảo hữu	Dùng Tu Luyện Châu	Dùng Nữ Nhi Hồng	Dùng Bạch Câu Hoàn
31	1969	Triều Nguyễn đã trải qua bao nhiêu đời vua?	4	10	11	12	13
32	1969	Tống Kim Chiêu Thư có thể nhận được từ đâu?	2	Kỳ Trân Các	Rương Chiến Trường	Đấu Giá Bang Hội	Tàng Bảo Đồ-Cao
33	1969	Muốn vào Tỷ Võ Trường có thể đến NPC nào ở Tương Dương?	2	Vạn Kim Tài	Võ Tăng	Nạp Lan Chân	Dương Ảnh Phong
34	1969	Tối đa cùng lúc thể bày bán bao nhiêu vật phẩm?	3	10	15	20	30
35	1969	Hư Trúc trong truyện Thiên Long Bác Bộ đã lấy công chúa nước nào?	1	Tây Hạ	Liêu Quốc	Ba Tư	Khác
36	1969	Trong tiểu thuyết Kim Dung, Thành Cát Tư Hãn đã định hôn ước giữa Quách Tĩnh và nhân vật nào?	1	Hoa Tranh	Hoàng Dung	Mục Niệm Từ	Tiểu Siêu
37	1969	Bản đồ nào sau đây cưỡng chế dạng PK Bang Hội?	2	Miêu Lĩnh	Phế Tích Dạ Lang	Bờ Hồ Động Đình	Võ Di Sơn
38	1969	Chùa Cầu (Hội An) là di tích mang nét đặc trưng văn hóa quốc gia nào?	4	Việt Nam	Trung Quốc	Hàn Quốc	Nhật Bản
39	1969	Tu Luyện Châu tối đa có thể tích lũy được bao nhiêu giờ tu luyện?	3	3 giờ	5 giờ	7 giờ	10 giờ
40	1969	Đồng hành nào sau đây là đồng hành cấp S?	2	Dương Ảnh Phong	Dương Anh	Sài Tung	Gia Luật Tị Li
41	1970	Để chat kênh màu cần sử dụng vật phẩm nào sau đây?	2	Loa	Thiên Lý Truyền Âm	Kim Lan Phổ	Bình Nhuộm Ngoại Trang
42	1970	Đâu chưa phải di sản văn hóa phi vật thể được UNESCO công nhận?	4	Hát Xoan	Ca Trù	Đàn Ca Tài Tử Nam Bộ	Bài Chòi
43	1970	Ủy thác rời mạng có thể tích lũy tối đa bao nhiêu giờ?	3	24 giờ	36 giờ	48 giờ	72 giờ
44	1970	Trong tiểu thuyết Kim Dung, tên của Quách Tĩnh và Dương Khang là do ai đặt?	1	Khưu Xử Cơ	Kha Trấn Ác	Quách Khiếu Thiên	Dương Thiết Tâm
45	1970	Mỗi ngày có thể hồi phục bao nhiêu giờ tu luyện bằng Tu Luyện Châu?	2	30 phút	1 giờ	1,5 giờ	2 giờ
46	1970	Truyện Lục Vân Tiên là tác phẩm của nhà thơ nổi tiếng nào?	3	Nguyễn Du	Nguyễn Trãi	Nguyễn Đình Chiểu	Lý Thường Kiệt
47	1970	Trong tiểu thuyết Kim Dung, người đứng đầu Giang Nam Thất Quái là ai?	1	Kha Trấn Ác	Hàn Tiểu Oanh	Chu Thông	Hàn Bảo Câu
48	1970	Thạch Sanh được ai tặng cây đàn thần?	4	Chằn tinh	Công chúa	Đại bàng tinh	Con vua Thủy Tề
49	1970	Môn phái Côn Lôn bị khắc chế ngũ hành bởi môn phái nào?	3	Thiên Vương	Nga Mi	Đường Môn	Võ Đang
50	1970	Mẹ của NPC Nạp Lan Chân và Nguyệt My Nhi là ai?	2	Dương Anh	Nguyệt Minh Dao	Hoàng Mộ Vân	Nam Cung Thái Hồng
51	1971	NPC Nam Cung Thái Hồng là người nước nào?	2	Tống 	Kim	Mông Cổ	Đại Lý
52	1971	Câu nói sau của ai: "Hỡi thế gian tình là chi, mà lứa đôi thề nguyền sống chết" trong tiểu thuyết Kim Dung?	3	Lý Mạc Sầu	Kim Dung	Nguyên Hảo Vấn	Lý Thương Ẩn
53	1971	Vật nào dưới đây không phải là yêu cầu sính lễ của Vua Hùng với Sơn Tinh và Thủy Tinh?	4	Voi chín ngà	Gà chín cựa	100 nệp bánh chưng	100 nệp bánh dày
54	1971	Giáo chủ đầu tiên của Thiên Nhẫn Giáo là ai?	2	Đoan Mộc Duệ	Hoàn Nhan Hồng Liệt	Hoàn Nhan Tương	Gia Luật Tị Li
55	1971	NPC nào là chưởng môn của Tiêu Dao?	2	Dương Anh	Chúc Tử Hư	Hoàng Mộ Vân	Huyền Nhân
56	1971	Trong tiểu thuyết Kim Dung, Hoàn Nhan Hồng Liệt đã gặp Bao Tích Nhược trong hoàn cảnh nào?	1	Bị thương	Đi dạo phố	Mai mối	Đi lạc
57	1971	Trong tiểu thuyết Kim Dung, Thiếu Lâm Tự nằm ở núi nào trong Ngũ Nhạc?	3	Đông Nhạc	Tây Nhạc	Trung Nhạc	Nam Nhạc
58	1971	Ai trong các vị thần dưới đây không thuộc Tứ Bất Tử?	4	Liễu Hạnh công chúa	Chữ Đồng Tử	Thánh Gióng	Lang Liêu
59	1971	An Dương Vương là vị vua nổi tiếng với thành trì nào?	4	Thăng Long	Huế	Gia Định	Cổ Loa
60	1971	Thiên Hạ Đệ Nhất Võ Kinh mà NPC Trác Phi Phàm luôn khao khát là gì?	2	Quỳ Hoa Bảo Điển	Võ Đạo Đức Kinh	Cửu Âm Chân Kinh	Bắc Minh Thần Công
61	1972	Tại tiểu thuyết Kim Dung,  Hoàng Dung đã cải trang thành nhân vật nào trong lần đầu gặp Quách Tĩnh?	1	Ăn mày	Công tử quý tộc	Kẻ trộm ngựa	Quân lính
62	1972	Người phụ nữ duy nhất trong Tứ đại Pháp Vương Minh Giáo trong Ỷ Thiên Đồ Long Ký là ai?	3	Kim Mao Sư Vương 	Thanh Dực Bức Vương	Tử Sam Long Vương	Bạch Mi Ưng Vương
63	1972	Trong tiểu thuyết Kim Dung, Dương Khang và Mục Niệm Từ gặp nhau trong trường hợp nào?	1	Tỉ võ chiêu thân	Trên sông Hoàng Hà	Đi chữa bệnh	Chạy loạn
64	1972	Trong tiểu thuyết Kim Dung, Hư Trúc chưa từng học loại võ công nào sau đây?	3	Thiên Sơn Lục Dương Chưởng 	Thiên Sơn Chiết Mai Thủ 	Hỏa Diễm Đao 	Sinh Tử Phù
65	1972	Chùa Một Cột còn có tên là gì?	4	Chùa Trấn Quốc	Chùa Dâu	Chùa Quán Sứ	Chùa Diên Hựu
66	1972	Trong tiểu thuyết Cổ Long, Tiểu Lý Phi Đao xếp hạng mấy trong Binh Khí Phổ?	3	1	2	3	4
67	1972	Lý Thái Tổ dời đô về Thăng Long vào năm nào?	2	Năm 1000 	Năm 1010	Năm 1110	Năm 1210
68	1972	Ngôi đền nào sau đây không thuộc Thăng Long Tứ Trấn?	4	Đền Bạch Mã	Đền Voi Phục	Đền Quán Thánh	Đền Thiên Trường
69	1972	Hoàng đế đầu tiên đặt quốc hiệu Đại Việt vào năm 1054 là ai?	2	Lý Thái Tổ	Lý Thánh Tông	Trần Thánh Tông	Lê Thánh Tông
70	1972	1kg sắt và 1kg gỗ cái nào nặng hơn?	3	Gỗ	Sắt	Như nhau	Không so sánh được
71	1973	Vụ án Lệ Chi Viên (Vụ án vườn vải) đã dẫn đến cái chết oan của nhân vật nổi tiếng nào?	2	Nguyễn Du	Nguyễn Trãi	Lê Quý Đôn	Ngô Sĩ Liên
72	1973	Trong tiểu thuyết Kim Dung, khi đánh thắng Mục Niệm Từ trong cuộc tỉ võ chiêu thân, Dương Khang lấy đi vật gì của nàng?	1	Chiếc giày	Khăn tay	Ngọn thương	Lá cờ
73	1973	Đâu không phải tác phẩm của Lương Thế Vinh?	4	Đại Thành Toán PHáp	Hý Phường Phả Lục	Thiền Môn Khoa Giáo	Liên Châu Thi Tập
74	1973	Bài hát nào sau đây không phải là một trong các bài hát chủ đề game Võ Lâm Truyền Kỳ Mobile?	4	Ta đi tìm em	Giấc mộng thời trai	Tam sinh duyên	Lạc trôi
75	1973	Cái gì có thể đo được, nhưng không có chiều dài, chiều rộng và bề dày?	3	Thước dây	Thước kẻ	Nhiệt Kế	Cả 3 đáp án đều đúng
76	1973	Hoàng hậu cuối cùng của Việt Nam là ai?	2	Từ Dụ 	Nam Phương	Ngọc Hân	Ỷ Lan
77	1973	"""Mây thua nước tóc tuyết nhường màu da"" là chỉ nhân vật nào trong Truyện Kiều?"	2	Thúy Kiều	Thúy Vân	Hoạn thư	Kim Trọng
78	1973	Trong tiểu thuyết Kim Dung, con trai cũng là đệ tử duy nhất của Âu Dương Phong là ai?	1	Âu Dương Khắc	Dương Khang	Trần Huyền Phong	Quách Tĩnh
79	1973	Môn phái nào sau đây thuộc hệ Hỏa?	4	Thiếu Lâm	Thúy Yên	Tiêu Dao	Đào Hoa
80	1973	Trong tiểu thuyết Kim Dung, Hồng Thất Công dạy cho Quách Tĩnh công phu gì?	1	Hàng Long Thập Bát Chưởng	Cáp Mô Công	Âm Phong Thực Cốt	Cửu Dương Thần Công
81	1974	"""Râu hùm, hàm én, mày ngài"" là chỉ nhân vật nào trong Truyện Kiều?"	2	Kim Trọng	Từ Hải	Sở Khanh	Mã giám sinh
82	1974	Cái gì có thể giải được tất cả câu đố?	3	Chìa khóa	Trí tuệ	Đáp án	Khác
83	1974	Nhân vật nào không xuất hiện trong truyện Anh Hùng Xạ Điêu?	4	Quách Tĩnh	Hoàng Dung	Lão Ngoan Đồng	Lệnh Hồ Xung
84	1974	Trong tiểu thuyết Kim Dung, Đoàn Dự chưa từng học loại võ công nào sau đây?	4	Lăng Ba Vi Bộ 	Bắc Minh Thần Công 	Lục Mạch Thần Kiếm 	Tiểu Vô Tướng Công
85	1974	Bài thơ "Nam Quốc Sơn Hà" từng được Lý Thường Kiệt cho quân đọc bên bờ sông nào?	2	Bạch Đằng	Như Nguyệt	Cửu Long	Sông Đuống
86	1974	Cầu gì cong cong, dẫu bắt qua sông, không ai sang được?	3	Cầu mây	Cầu khỉ	Cầu vồng	Cầu tài
87	1974	Lang Liêu là con trai của vua Hùng Vương thứ mấy?	2	Thứ 1	Thứ 6	Thứ 7	Thứ 18
88	1974	1 con ngựa đi về phía nam 5 bước, đi về phía bắc 3 bước, đuôi nó ở hướng nào?	4	Nam	Bắc	Tây	Phía dưới
89	1974	Bánh chưng là loại bánh tượng trưng cho vật gì?	2	Trời	Đất	Núi	Sông
90	1974	Trong tiểu thuyết Kim Dung, Trùng Dương Cung của phái Toàn Chân nằm ở đâu?	1	Núi Chung Nam	Núi Thiếu Thất	Núi Thiết Chưởng	Tây Hồ
91	1975	Bốn người Ngư Tiều Canh Độc trong Anh Hùng Xạ Điêu là ai?	1	Đệ tử của Nam Đế	Đệ tử của Đông Tà	Đệ tử của Tây Độc	Đệ tử của Bắc Cái
92	1975	Cầu thủ bóng đá và con bò giống nhau ở điểm nào?	3	Hay gào thét	Chạy nhanh	Ghét màu đỏ	Hay ăn vạ
93	1975	Từ nào sau đây là từ láy?	4	Ào ào	Ầm ầm	Rầm rầm	Cả ba đều đúng
94	1975	Mẹ Thánh Gióng đã mang thai bao lâu để sinh ra Gióng?	2	10 tháng	12 tháng	2 năm	3 năm
95	1975	Tác phẩm nào kể câu chuyện tình yêu giữa Dương Quá và Tiểu Long Nữ?	1	Thần Điêu Hiệp Lữ	Anh Hùng Xạ Điêu	Hiệp Khách Hành	Bích Huyết Kiếm
96	1975	Trong tiểu thuyết Kim Dung, khi Quách Tĩnh bỏ trốn khỏi Mông Cổ, ai là người đã cố tình thả y?	2	Mộc Hoa Lê	Triết Biệt	Hoa Tranh	Thành Cát Tư Hãn
97	1975	Trong Võ Lâm Ngũ Tuyệt, ai là hậu duệ họ Đoàn nước Đại Lý?	2	Bắc Cái	Nam Đế	Đông Tà	Tây Độc
98	1975	Từ nào sau đây là từ láy?	4	Tí tách	Lăn tăn	Lả chả	Cả ba đều đúng
99	1975	Chẳng ai biết mặt ra sao. Chỉ nghe tiếng thét trên cao ầm ầm. Là thứ gì?	3	Chớp	Sét	Sấm	Núi lở
100	1975	Trong tiểu thuyết Kim Dung, sư phụ của Dương Quá ở phái Toàn Chân là ai?	1	Triệu Chí Kính	Doãn Chí Bình	Khưu Xử Cơ	Mã Ngọc
101	1976	Từ nào sau đây là từ láy?	4	Nhăn nheo	Gầy guộc	Xanh xao	Cả ba đều đúng
102	1976	Trong Thần Điêu Hiệp Lữ, tại sao Dương Quá đến Tuyệt Tình Cốc?	1	Theo Chu Bá Thông	Tìm Tiểu Long Nữ	Cứu Cừu Thiên Xích	Trốn phái Toàn Chân
103	1976	Chẳng phải ảnh, chẳng phải tranh. Mà ai xem cũng thấy mình ở trong. Là vật gì?	3	Tấm ảnh	Bức tranh	Gương	Tiểu thuyết
104	1976	Trong Thần Điêu Hiệp Lữ, Dương Quá đã trúng phải chất độc nào ở Tuyệt Tình Cốc?	1	Hoa Tình	Băng Phách Ngân Châm	Rắn	Mai Hoa Châm
105	1976	NPC Phương Miễn mang danh hiệu nào sau đây?	4	Tiên Kiếm Khách	Thiên Kiếm Khách	Phi Kiếm Khách	Tâm Kiếm Khách
106	1976	Ban đầu Hồng Thất Công đã truyền cho Quách Tĩnh mấy chiêu thức trong Hàng Long thập bát chưởng?	2	18	15	22	1
107	1976	NPC nào là tướng quân Nam Tống nhưng cấu kết với quân Kim?	4	Độc Cô Kiếm	Gia Luật Tị Li	Nam Cung Phi	Triệu Tiết
108	1976	Trong tiểu thuyết Kim Dung, nhân vật nào tự nhận mình là Phế nhân Ngũ Hồ?	2	Hoàng Dược Sư	Lục Thừa Phong	Nhậm Ngã Hành	Mộ Dung Bác
109	1976	Trong tiểu thuyết Kim Dung, Cửu Hoa Ngọc Lộ Hoàn của Hoàng Dược Sư được bào chế từ chất liệu gì?	2	Cánh hoa	Sương	Rễ cây	Ngọc trai
110	1976	Chiếc đồng hồ nào cứ mỗi ngày lại bị chậm mất 24 giờ?	3	Đồng hồ dây thun	Đồng hồ cát	Đồng hồ hư	Đồng hồ nước
111	1977	Huynh đệ tri kỷ của NPC Nam Cung Phi, môn chủ Trường Ca Môn là ai?	4	Đường Ảnh	Triệu Tiết	Dương Ảnh Phong	Sài Tung
112	1977	NPC Độc Cô Kiếm từng là chưởng môn môn phái nào?	4	Võ Đang	Thục Sơn	Hoa Sơn	Hành Sơn
113	1977	Trong Thần Điêu Hiệp Lữ, nhân vật nào đã chặt đứt cánh tay của Dương Quá?	1	Quách Phù	Quách Tương	Hoàng Dung	Kim Luân Pháp Vương
114	1977	NPC Dương Hi Liệt và Thượng Quan Phi Long từng tử chiến tại đâu?	4	Đào Hoa Đảo	Hoa Sơn	Vong Ưu Cốc	Lăng Tuyệt Phong
115	1977	Chồng người da đen, vợ người da trắng vừa sinh 1 đứa bé. Hỏi răng đứa bé màu gì?	3	Màu đen	Màu trắng	Không màu	Màu vàng
116	1977	Chữ gì chặt đầu thì hỏi, chặt đuôi thì lên tiếng trả lời, còn để nguyên thì thin thít lắng nghe?	3	Ngâm	Loa	Tai	Gào
117	1977	Trong tiểu thuyết Kim Dung, Hoàng Dung còn có một đứa con trai tên là gì?	1	Quách Phá Lỗ	Quách Phù	Quách Dương	Tu Văn
118	1977	Trong tiểu thuyết Kim Dung, trên áo bào của Tôn Bất Nhị phái Toàn Chân thêu hình gì?	2	Hoa đào	Bộ xương	Chim thứu	Hồ lô
119	1977	Vật gì có đầy đủ năm ngón tay nhưng không có thịt và xương?	3	Đứa bé	Con quỷ	Cái găng tay	Bù nhìn rơm
120	1977	Lê Thánh Tông từng lập hội nào để tập hợp các nhà văn hóa lớn đương thời?	4	Bạch Đằng	Hồng Đức	Diên Hồng	Tao Đàn
121	1978	Con vật nào lúc đứng ngồi, lúc ngồi cũng ngồi, lúc đi cũng ngồi, ngủ cũng ngồi?	3	Rắn	Bò	Ếch	Chó
122	1978	Hoa gì sớm nở tối tàn. Hoa gì được sánh vào hàng tôn vương?	3	Hoa phù dung - Hoa cúc	Hoa mẫu đơn - Hoa lài	Hoa phù dung - Hoa mẫu đơn	Hoa lài - Hoa cúc
123	1978	Trong tiểu thuyết Kim Dung, Quách Tương ra đời trong hoàn cảnh đặc biệt nào?	1	Mông Cổ đánh Tương Dương	Đại hội Cái Bang	Mùa đông	Quân Kim tấn công
124	1978	Nguyễn Huệ từng đánh bại bao nhiêu vạn quân Xiêm xâm lược?	4	50 vạn	10 vạn	20 vạn	5 vạn
125	1978	1 viên kẹo giá 1 đồng. 2 tờ giấy gói kẹo lại đổi được 1 viên kẹo cùng loại. Khi có 5 đồng, bạn sẽ mua được nhiều nhất bao nhiêu viên kẹo?	2	5	9	7	8
126	1978	Khi bị xử tội chết, các phạm nhân muốn được nhận cái chết nào nhất?	3	Tiêm thuốc độc	Xử bắn	Chết già	Ngồi ghế điện
127	1978	5 con gà 5 ngày đẻ được 5 trứng. Trong 51 ngày muốn được 51 quả trứng thì cần mấy con gà?	2	1	5	11	51
128	1978	Từ nào sau đây là từ láy?	3	Lo âu	Lo toan	Lo lắng	Cả ba đều sai
129	1978	Khởi nghĩa Tây Sơn bắt đầu đầu từ địa phương nào?	4	Quảng Trị	Quảng Nam	Hà Nội	Bình Định
130	1978	5 người hát là ngũ ca, 5 ngọn núi là ngũ hành sơn, nếu có 5 con quỷ xuất hiện thì gọi thế nào?	2	Ngũ cốc	Cứu mạng!	Ngũ sắc	Ngũ cung
131	1979	Từ nào sau đây là danh từ?	3	Hát	Đi	Bàn	Ngồi
132	1979	Trong Thần Điêu Hiệp Lữ, Dương Quá đã tặng gì cho Quách Tương ở Phong Lăng Độ?	1	Ba mũi kim châm	Da gấu	Cáo chín đuôi	Huyền Thiết Kiếm
133	1979	Đèo Ngang trong tác phẩm Qua Đèo Ngang của Bà Huyện Thanh Quan thuộc địa phận tỉnh nào?	4	Nam Định-Ninh Bình	Quảng Bình-Quảng Trị	Quảng Ngãi-Bình Định	Hà Tĩnh-Quảng Bình
134	1979	Thánh địa Mỹ Sơn là di tích mang kiến trúc đặc trưng của dân tộc nào nước ta?	4	Kinh	Khơ-me	Hoa	Chăm
135	1979	Ai bị sói ăn vào bụng mà vẫn còn sống?	2	Sói con	Cô bé quàng khăn đỏ	Bạch Tuyết	Cậu bé đầu to
136	1979	Từ nào sau đây là danh từ?	3	Đi	Đánh	Ghế	Ngủ
137	1979	Nữ hoàng đế đầu tiên và duy nhất của Việt Nam là ai?	4	Đoàn Thị Điểm	Dương Vân Nga	Ngọc Hân Công Chúa	Lý Chiêu Hoàng
138	1979	Everest là đỉnh núi cao nhất thế giới, vậy trước khi đỉnh Everest được khám phá, đỉnh núi nào cao nhất thế giới?	2	Kilimanjaro	Everest	Fansipan	Phú Sĩ
139	1979	Từ nào sau đây là danh từ?	3	Ăn	Ngủ	Tủ	Chơi
140	1979	Trong tiểu thuyết Kim Dung, Quách Tương có biệt hiệu là gì?	1	Tiểu Đông Tà	Đông Tà	Tây Cuồng	Bắc Hiệp
141	1980	Phần lớn các hoa hậu thế giới được sinh ra ở đâu không?	2	Ấn Độ	Bệnh viện	Venezuela	Nga
142	1980	Từ nào sau đây là danh từ?	3	Nhảy	Nằm	Giường	Hát
143	1980	Bài thơ "Bánh trôi nước" là của nữ sĩ nào?	4	Bà Huyện Thanh Quan	Đoàn Thị Điểm	Xuân Quỳnh	Hồ Xuân Hương
144	1980	Vỏ trứng gà dùng để làm gì không?	2	Làm rau câu trứng gà	Bọc lòng trắng và lòng đỏ	Xay nhỏ làm thức ăn cho gia súc	Vứt đi chứ còn làm gì được nữa?
145	1980	Cách nào để có thể thức được 7 ngày mà vẫn không thiếu ngủ?	2	Xem tivi	Ngủ vào ban đêm	Đọc truyện ma	Uống thuốc
146	1980	Trong tiểu thuyết Kim Dung, người sáng lập phái Toàn Chân là ai?	1	Vương Trùng Dương	Lâm Triêu Anh	Mai Nhược Hoa	Khưu Xử Cơ
147	1980	Điền vào chỗ trống câu tục ngữ sau: "Ăn mặn nói ngay hơn ăn chay …"	3	Nói gở	Nói thẳng	Nói dối	Nói ác
148	1980	Có thể thấy, nhưng không thể chạm. Có thể mất, nhưng không bỏ đi. Đó là gì?	2	Ý nghĩ	Cái bóng	Tình yêu	Bạn bè
149	1980	Hịch Tướng Sĩ là tác phẩm nổi tiếng của nhân vật nào?	4	Nguyễn Du	Lý Thánh Tông	Nguyễn Trãi	Trần Hưng Đạo
150	1980	Điền vào chỗ trống: "Thanh minh trong tiết tháng ba; Lễ là tảo mộ, hội là ..."	4	Đua voi	Chọi trâu	Cướp ấn	Đạp thanh
151	1981	Điền vào chỗ trống câu tục ngữ sau: "Điều lành nên nhớ, ... nên quên"	3	Điều kỵ	Điều hay	Điều dở	Điều nhảm
152	1981	Điền vào chỗ trống câu tục ngữ sau: "Qua giêng hết năm, qua rằm hết …"	3	Cúng	Chuối	Tháng	Giỗ
153	1981	Việc đầu tiên sau khi ngủ dậy là gì?	2	Đánh răng	Mở mắt	Rửa mặt	Đứng dậy
154	1981	Điều đáng sợ nhất khi đang ăn táo?	2	Thấy 1 con sâu	Thấy 1/2 con sâu	Thấy 5 con sâu	Thấy 10 con sâu
155	1981	Điền vào chỗ trống câu tục ngữ sau: "Người có lúc vinh lúc nhục,… có lúc đục lúc trong"	3	Suối	Sông	Nước	Biển
156	1981	Tác phẩm "Bình Ngô Đại Cáo" ra đời khi kết thúc cuộc khởi nghĩa nào sau đây?	4	Mê Linh	Tây Sơn	Cần Vương	Lam Sơn
157	1981	Quỹ xây dựng thành viên kiến tập cung cấp bằng bao nhiêu so với thành viên thường?	3	100%	50%	25%	200%
158	1981	Trong Thần Điêu Hiệp Lữ, Lý Mạc Sầu trở về Cổ Mộ để làm gì?	1	Đoạt Ngọc Nữ Tâm Kinh	Đoạt Cửu Âm Chân Kinh	Tự vẫn	Giết Dương Quá
159	1981	Điền vào chỗ trống: "Muốn coi, lên núi mà coi; Có ... tướng cưỡi voi, đánh cồng"	4	Lê Chân	Thi Sách	Bà Trưng	Bà Triệu
160	1981	Trưởng Lão bang hội có quyền lợi nào sau đây?	3	Bổ nhiệm Bảo Bối	Trục xuất thành viên	Nhận lương hàng tuần	Trò chuyện voice 30 giây
161	1982	Bên trái có một căn nhà xanh, bên phải có một căn nhà đỏ. Vậy nhà trắng ở đâu? 	2	Luân Đôn	Washington	Nha Trang	Ở giữa
162	1982	Bộ phận nào của mình mà lại cứ bảo là của người khác?	2	Tên gọi	Chân mày	Mắt	Tiếng nói
163	1982	Trong truyện Lục Vân Tiên, Lục Vân Tiên từng cứu ai khỏi bọn cướp?	4	Bùi Kiệm	Hớn Minh	Trịnh Hâm	Kiều Nguyệt Nga
164	1982	Thủ Lĩnh bang hội có quyền lợi nào sau đây?	3	Chiêu mộ thành viên	Bổ nhiệm Bang phó	Bổ nhiệm Bang chủ	Nhận lương hàng tuần
165	1982	Sơn Tinh là sơn thần núi nào?	4	Hồng Lĩnh	Sóc Sơn	Yên Tử	Tản Viên
166	1982	Trong tiểu thuyết Kim Dung, tên của Dương Quá do ai đặt?	1	Quách Tĩnh	Mục Niệm Từ	Dương Khang	Hoàng Dung
167	1982	Mỗi nhân vật có thể sử dụng bao nhiêu Bánh Ít Bát Bảo?	3	3	2	1	5
