nId	szQuestion	nUpper	nAnswerId	szA1	szA2	szA3	szA4
12	Chúc Tết đến trăm điều như ý	1	4	Mừng Xuân sang vạn sự như ý	Mừng Tết sang vạn sự thành công	Mừng Xuân đến vạn sự thành công	Mừng Xuân sang vạn sự thành công
13	Pháo đì đùng nhân gian mừng năm mới	1	1	Mai lấm tấm thiên hạ biết xuân sang	Pháo đì đùng thiên hạ biết xuân sang	Mai lấm tấm nhân gian biết xuân sang	Mai lấm tấm thiên hạ biết năm sang
14	Tám chục tuổi đời người vẫn trẻ	1	2	Ngàn năm tuổi đời phúc vô biên	Ngàn năm gia tộc phúc vô biên	Trăm chục gia tộc phúc vô biên	Ngàn năm gia tộc người hạnh phúc
15	Tám chục vẫn ngời viên ngọc thọ	1	3	Bốn đời cùng ngợp ánh ngọc quang	Tám đời cùng ngợp ánh hào quang	Bốn đời cùng ngợp ánh hào quang	Bốn đời vẫn ngợp ánh hào quang
16	Tuổi hạc ngàn năm bừng mây sáng	1	4	Sắc lan chín chục đẫm mây trong	Sắc lan chín chục bừng sương trong	Sắc hạc chín chục đẫm sương trong	Sắc lan chín chục đẫm sương trong
17	Hoa giáp vòng đầu như tùng bách	1	1	Lâu dài rực rỡ tựa quế lan	Lâu dài rực rỡ như quế lan	Lâu dài rực rỡ tựa hoa lan	Lâu dài rực rỡ tựa vòng lan
18	Ba ngàn năm tháng xuân thường trú	1	2	Bảy chục còn tươi còn vốn xuân	Bảy chục còn tươi cổ vốn hi	Ba chục còn tươi cổ vốn hi	Bảy ngàn năm ấy tươi cổ vốn hi
19	Hoa quế trăng rằm hương bảy dặm	1	3	Cỏ huyên trăng sáng tốt ngàn năm	Cỏ hoa sân trước tốt ngàn năm	Cỏ huyên sân trước tốt ngàn năm	Cỏ huyên sân trước hương ngàn năm
20	Tuổi ngoại bảy tuần khen cụ khỏe	1	4	Còn thêm bảy chục lộc trời cho	Tuổi thêm ba chục lộc trời cho	Còn thêm ba chục khỏe trời cho	Còn thêm ba chục lộc trời cho
21	Chốn Dao trì tám mười hiến thụy	1	1	Chòm Bảo vụ mấy thuở cùng xem	Chòm Bảo vụ mười thuở cùng xem	Chòm Dao trì mấy thuở cùng xem	Chòm Bảo vụ tám thuở cùng xem
22	Tám chục chưa già xuân vẫn mạnh	1	2	Bốn mùa khỏe sức xuân vô cùng	Bốn mùa khỏe sức phúc vô cùng	Bốn mùa chưa già phúc vô cùng	Ngàn xuân khỏe sức phúc vô cùng
23	Chín chục hãy còn ngàn tuổi thọ	1	3	Mười năm hãy chúc chén trăm năm	Mười năm lại chúc thọ trăm năm	Mười năm lại chúc chén trăm xuân	Chín năm lại chúc chén trăm xuân
24	Chín chục mùa xuân nhà Phật sống	1	4	Ba ngàn giáp tý núi xuân thiêng	Chín ngàn giáp tý núi linh thiêng	Ba ngàn giáp tý núi nhà thiêng	Ba ngàn giáp tý núi linh thiêng
25	Chân trời rực rỡ vầng trăng sáng	1	1	Dưới đất chuông mừng người tròn trăm	Dưới đất rực rỡ người tròn trăm	Dưới trời chuông mừng người tròn trăm	Dưới đất trăng rọi người tròn trăm
26	Hoa quế trăng soi mừng bảy chục	1	2	Cỏ huyên sân mọc mừng ngàn thu	Cỏ huyên sân mọc rậm ngàn thu	Cỏ hoa sân mọc rậm ngàn thu	Cỏ huyên sân mọc rậm bảy thu
27	Trăm tuổi tiệc mừng thông Bắc Hải	1	3	Trăm năm giày đỏ chúc Nam Sơn	Ngàn năm tiệc đỏ chúc Nam Sơn	Ngàn năm giày đỏ chúc Nam Sơn	Ngàn năm giày đỏ chúc Bắc Sơn
28	Trời thêm tuổi mới người thêm thọ	1	4	Xuân khắp trời xanh phúc khắp nhà	Xuân khắp càn khôn tuổi vui mừng	Người khắp càn khôn phúc khắp nhà	Xuân khắp càn khôn phúc khắp nhà
29	Tết đến rượu ngon đưa mấy chén	1	1	Xuân về bút mới thử vài trang	Xuân về rượu mới thử vài chung	Tết về bút mới thử vài trang	Xuân đến bút mới thử vài trang
30	Đêm ba mươi pháo nổ đùng! Ờ ờ Tết	1	2	Sáng mùng một niêu đánh cộc! Ờ ờ Xuân	Sáng mùng một niêu đánh cộc! À à Xuân	Đêm mùng một niêu đánh cộc! À à Xuân	Sáng mùng một pháo đì đùng! À à Xuân
31	Xuân sang cội phúc sinh nhành lộc	1	3	Tết về nhành đức trổ thêm hoa	Xuân về cây đức trổ thêm hoa	Tết về cây đức trổ thêm hoa	Tết về cây đức sinh thêm hoa
32	Giao thừa đón lộc nhớ tiên tổ	1	4	Mùng một mang thọ nhớ ông bà	Mùng một đón thọ kính ông bà	Mùng một mang lộc kính ông bà	Mùng một mang thọ kính ông bà
33	Báo nước chẳng buồn khi tóc bạc	1	1	Học chăm đừng phụ lúc đầu xanh	Báo nước đừng phụ lúc đầu xanh	Học chăm đừng phụ lúc đầu bạc	Học chăm đừng buồn lúc đầu xanh
34	Thịt mỡ dưa hành câu đối đỏ	1	2	Dưa hành tràng pháo bánh chưng xanh	Cây nêu tràng pháo bánh chưng xanh	Cây nêu thịt mỡ bánh chưng xanh	Cây nêu tràng pháo dưa hành xanh
35	Mừng Xuân hỉ xả thêm công đức	1	3	Mừng Tết từ bi bớt não phiền	Đón Xuân từ bi bớt não phiền	Đón Tết từ bi bớt não phiền	Đón Tết hỉ xả bớt não phiền
36	Xuân như cẩm tú người như ngọc	1	4	Khách chật trong nhà người hết chung	Xuân chật trong nhà rượu hết chung	Rượu chật trong nhà người hết chung	Khách chật trong nhà rượu hết chung
37	Nhớ tổ tiên đẹp điều nhân đức	1	1	Tin cháu con bền sự lạ hay	Tin tổ tiên bền sự lạ hay	Nhớ cháu con bền sự lạ hay	Tin cháu con đẹp sự lạ hay
38	Đất sinh tài nghiệp đời sán lạn	1	2	Trời ban tài lộc tiếng tốt tươi	Trời ban lộc nhà tiếng tốt tươi	Trời sinh lộc nhà tiếng tốt tươi	Trời ban lộc nhà đời tốt tươi
39	Tiên tổ danh thơm lưu sử nước	1	3	Cháu con tích học nối danh xưa	Cháu con tích học nối sử nhà	Cháu con tích học nối nghiệp nhà	Cháu con lưu sử nối nghiệp nhà
40	Ngoài cửa mừng Xuân nghênh ngũ phúc	1	4	Trong nhà chúc Tết hưởng tam Xuân	Ngoài nhà chúc Tết hưởng tam đa	Trong nhà mừng Tết hưởng tam đa	Trong nhà chúc Tết hưởng tam đa
