nId	nFaction	szTitle	nAnswerId	szA1	szA2	szA3	szA4
2	4	[FFFE0D]Hệ Mộc khắc[-] thuộc tính hệ nào	4	Kim	Thủy	Hỏa	Thổ
2	5	[FFFE0D]Hệ Thổ khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Thủy	Hỏa
2	6	[FFFE0D]Hệ Hỏa khắc[-] thuộc tính hệ nào	1	Kim	Mộc	Thủy	Thổ
2	7	[FFFE0D]Hệ Kim khắc[-] thuộc tính hệ nào	1	Mộc	Thủy	Hỏa	Thổ
2	8	[FFFE0D]Hệ Thủy khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Hỏa	Thổ
2	9	[FFFE0D]Hệ Mộc khắc[-] thuộc tính hệ nào	4	Kim	Thủy	Hỏa	Thổ
2	10	[FFFE0D]Hệ Thổ khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Thủy	Hỏa
2	11	[FFFE0D]Hệ Hỏa khắc[-] thuộc tính hệ nào	1	Kim	Mộc	Thủy	Thổ
2	12	[FFFE0D]Hệ Mộc khắc[-] thuộc tính hệ nào	4	Kim	Thủy	Hỏa	Thổ
2	13	[FFFE0D]Hệ Kim khắc[-] thuộc tính hệ nào	1	Mộc	Thủy	Hỏa	Thổ
2	14	[FFFE0D]Hệ Thổ khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Thủy	Hỏa
2	15	[FFFE0D]Hệ Thủy khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Hỏa	Thổ
2	16	[FFFE0D]Hệ Kim khắc[-] thuộc tính hệ nào	1	Mộc	Thủy	Hỏa	Thổ
2	17	[FFFE0D]Hệ Mộc khắc[-] thuộc tính hệ nào	4	Kim	Thủy	Hỏa	Thổ
2	18	[FFFE0D]Hệ Hỏa khắc[-] thuộc tính hệ nào	1	Kim	Thủy	Hỏa	Thổ
3	1	[FFFE0D]Thiên Vương[-] khắc chế những môn phái nào?	3	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	2	[FFFE0D]Nga Mi[-] khắc chế những môn phái nào?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Thiên Vương, Tiêu Dao và Cái Bang	Võ Đang, Nga Mi và Côn Lôn	Thiên Vương, Thiên Nhẫn và Thiếu Lâm
3	3	[FFFE0D]Đào Hoa[-] khắc chế những môn phái nào?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	4	[FFFE0D]Tiêu Dao[-] khắc chế những môn phái nào?	4	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	5	[FFFE0D]Võ Đang[-] khắc chế những môn phái nào?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	6	[FFFE0D]Thiên Nhẫn[-] khắc chế những môn phái nào?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	7	[FFFE0D]Thiếu Lâm[-] khắc phái nào?	3	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	8	[FFFE0D]Thúy Yên[-] khắc phái nào?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Thiên Vương, Tiêu Dao và Cái Bang	Võ Đang, Nga Mi và Côn Lôn	Thiên Vương, Thiên Nhẫn và Thiếu Lâm
3	9	[FFFE0D] Đường Môn [-] khắc chế môn phái nào?	4	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	10	[FFFE0D] Côn Lôn [-] khắc chế môn phái nào?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	11	[FFFE0D] Cái Bang [-] khắc phái nào?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	12	[FFFE0D] Ngũ Độc [-] khắc phái nào?	4	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	13	[FFFE0D] Tàng Kiếm [-] khắc phái nào?	3	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	14	[FFFE0D] Trường Ca [-] khắc phái nào?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
3	15	[FFFE0D]Thiên Sơn[-] khắc phái nào?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Thiên Vương, Tiêu Dao và Cái Bang	Võ Đang, Nga Mi và Côn Lôn	Thiên Vương, Thiên Nhẫn và Thiếu Lâm
3	16	[FFFE0D]Bá Đao[-] khắc chế môn phái nào?	3	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
3	17	[FFFE0D]Hoa Sơn[-] khắc môn phái nào?	3	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Nga Mi, Thúy Yên và Thiên Sơn	Võ Đang, Côn Lôn và Trường Ca	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao
3	18	[FFFE0D] Minh Giáo [-] khắc chế những môn phái nào?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo
4	1	[FFFE0D]Hệ Kim[-] bị thuộc tính hệ nào khắc	3	Mộc	Thủy	Hỏa	Thổ
4	2	[FFFE0D]Hệ Thủy[-] bị thuộc tính hệ nào khắc	4	Kim	Mộc	Hỏa	Thổ
4	3	[FFFE0D]Hệ Hỏa[-] bị thuộc tính hệ nào khắc	3	Kim	Mộc	Thủy	Thổ
4	4	[FFFE0D]Hệ Mộc[-] bị thuộc tính hệ nào khắc	1	Kim	Thủy	Hỏa	Thổ
4	5	[FFFE0D]Hệ Thổ[-] bị thuộc tính hệ nào khắc	2	Kim	Mộc	Thủy	Hỏa
4	6	[FFFE0D]Hệ Hỏa[-] bị thuộc tính hệ nào khắc	3	Kim	Mộc	Thủy	Thổ
4	7	[FFFE0D]Hệ Kim[-] bị thuộc tính hệ nào khắc	3	Mộc	Thủy	Hỏa	Thổ
4	8	[FFFE0D]Hệ Thủy[-] bị thuộc tính hệ nào khắc	4	Kim	Mộc	Hỏa	Thổ
4	9	[FFFE0D]Hệ Mộc[-] bị thuộc tính hệ nào khắc	1	Kim	Thủy	Hỏa	Thổ
4	10	[FFFE0D]Hệ Thổ[-] bị thuộc tính hệ nào khắc	2	Kim	Mộc	Thủy	Hỏa
4	11	[FFFE0D]Hệ Hỏa[-] bị thuộc tính hệ nào khắc	3	Kim	Mộc	Thủy	Thổ
4	12	[FFFE0D]Hệ Mộc[-] bị thuộc tính hệ nào khắc	1	Kim	Thủy	Hỏa	Thổ
4	13	[FFFE0D]Hệ Kim[-] bị thuộc tính hệ nào khắc	3	Mộc	Thủy	Hỏa	Thổ
4	14	[FFFE0D]Hệ Thổ[-] bị thuộc tính hệ nào khắc	2	Kim	Mộc	Thủy	Hỏa
4	15	[FFFE0D]Hệ Thủy[-] bị thuộc tính hệ nào khắc	4	Kim	Mộc	Hỏa	Thổ
4	16	[FFFE0D]Hệ Kim[-] bị thuộc tính hệ nào khắc	3	Mộc	Thủy	Hỏa	Thổ
4	17	[FFFE0D]Hệ Mộc[-] bị thuộc tính hệ nào khắc	1	Kim	Thủy	Hỏa	Thổ
4	18	[FFFE0D]Hệ Hỏa[-] bị thuộc tính hệ nào khắc	3	Kim	Mộc	Thủy	Thổ
5	1	[FFFE0D]Thiên Vương[-] bị môn phái nào khắc chế?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Nga Mi, Thúy Yên và Thiên Sơn	Võ Đang, Côn Lôn và Trường Ca	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc
5	2	[FFFE0D]Nga Mi[-] bị môn phái nào khắc chế?	4	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	3	[FFFE0D]Đào Hoa[-] bị môn phái nào khắc chế?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	4	[FFFE0D]Tiêu Dao[-] bị môn phái nào khắc chế?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	5	[FFFE0D]Võ Đang[-] bị môn phái nào khắc chế?	3	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	6	[FFFE0D]Thiên Nhẫn[-] bị môn phái nào khắc chế?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	7	[FFFE0D]Thiếu Lâm[-] bị phái nào khắc?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Nga Mi, Thúy Yên và Thiên Sơn	Võ Đang, Côn Lôn và Trường Ca	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc
5	8	[FFFE0D]Thúy Yên[-] bị phái nào khắc?	4	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	9	[FFFE0D] Đường Môn [-] bị môn phái nào khắc chế?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	10	[FFFE0D] Côn Lôn [-] bị môn phái nào khắc chế?	3	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	11	[FFFE0D] Cái Bang [-] bị khắc phái nào?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	12	[FFFE0D] Ngũ Độc [-] bị khắc phái nào?	1	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	13	[FFFE0D] Tàng Kiếm [-] bị phái nào khắc?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Nga Mi, Thúy Yên và Thiên Sơn	Võ Đang, Côn Lôn và Trường Ca	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc
5	14	[FFFE0D] Trường Ca [-] bị phái nào khắc?	3	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	15	[FFFE0D]Thiên Sơn[-] bị phái nào khắc?	4	Nga Mi, Thúy Yên và Thiên Sơn	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
5	16	[FFFE0D]Bá Đao[-] bị môn phái nào khắc chế?	1	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Nga Mi, Thúy Yên và Thiên Sơn	Võ Đang, Côn Lôn và Trường Ca	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc
5	17	[FFFE0D]Hoa Sơn[-] bị môn phái nào khắc?	2	Đào Hoa, Thiên Nhẫn, Cái Bang và Minh Giáo	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Võ Đang, Côn Lôn và Trường Ca	Nga Mi, Thúy Yên và Thiên Sơn
5	18	[FFFE0D] Minh Giáo [-] bị môn phái nào khắc chế?	2	Thiên Vương, Thiếu Lâm, Tàng Kiếm và Bá Đao	Nga Mi, Thúy Yên và Thiên Sơn	Tiêu Dao, Đường Môn, Hoa Sơn và Ngũ Độc	Võ Đang, Côn Lôn và Trường Ca
