Type	Wuxing	Explain	Arrangement	RewardGroup	SkillId	SkillLevel	SkillTime
3334	Thủy Thủy Thủy Hỏa	Tam mộc phùng kim, nan vi chước chiết! Dĩ nhược thắng cường chi nhật.	Giành lôi đài\nĐại hiệp tuy yếu thế nhưng cũng có cơ hội chiến thắng.	3	2303	6	7200
33334	Thủy Thủy Thủy Thủy Hỏa	Tam mộc nhập thủy, kinh đào nan phúc! Hảo vận hoành lai, si mị nan đương!	Nghịch Kích Lưu\nThiên thời địa lợi, tuy ngược dòng như có thể đi thuyền.	4	2303	7	7200
35	Thủy Thổ	Cây đã thành rừng! Mệnh trời đã định, số phận khó thoát.	Thay trời hành đạo\nMệnh trời không từ.	1	2303	4	7200
335	Thủy Thủy Thổ	Mộc khắc thổ, đa thổ nan tồn. Phía trước thông thoáng, có thể đi.	Viễn Hành\nTuy đường khó, nhưng có quý nhân.	2	2303	5	7200
3335	Thủy Thủy Thủy Thổ	Tam thủy sinh kim, trọc kim khả thanh! Hiềm khích nhỏ nhặt, không đáng để tâm.	Trò chuyện đêm khuya\nĐêm dài dằng dặc, chong đèn cửa sổ, cùng thuyền quyên.	3	2303	6	7200
33335	Thủy Thủy Thủy Thủy Thổ	Như dòng suối tuôn ra, tuy nhỏ nhưng chẳng bao giờ chảy ngược dòng.	Trải lòng\nKhó ai cự tuyệt, đường tình suôn sẻ.	4	2303	7	7200
33333	Thủy Thủy Thủy Thủy Thủy	Tình này cảnh này, cầm lòng thật khó.	Cầm đèn ngắm hoa\nĐèn và hoa, nỗi nhớ không nguôi.	5	2303	8	7200
41	Hỏa Kim	Tam thủy vi nhất, thế như sóng ập!	Giang hồ đồng lộ\nThiên Nhai như mộng, hình bóng vội vàng, bất chấp gió mưa.	1	2304	4	7200
441	Hỏa Hỏa Kim	Tam hỏa khắc kim, kiên kim vi dung! Liệt hỏa chi uy, vạn hác vô dụng.	Dũng cảm tiến tới\nCan trường đối mặt với khó khăn.	2	2304	5	7200
4441	Hỏa Hỏa Hỏa Kim	Hỏa tiệm liệt, Mộc trợ uy! Tráng chí anh hùng, số trời đã định.	Chỉnh hành trang\nĐường thiên hạ vô tận, du hiệp vẫn nhiệt huyết.	3	2304	6	7200
44441	Hỏa Hỏa Hỏa Hỏa Kim	Lửa hừng hực, nước yếu khô, không thể chống lại.	Hành tẩu\nChuyện thiên hạ, thừa thế lập công.	4	2304	7	7200
42	Hỏa Mộc	Chân Hỏa tụ thủ, thắng lợi dĩ vọng! 	Lý tư lự\nMưu kế sâu xa, con hươu chết bởi tay ta.	1	2304	4	7200
442	Hỏa Hỏa Mộc	Có khổ luyện mới thành tài!	Đóng cửa đông đi cửa tây\nTuổi già xế bóng, sớm mai bay đi.	2	2304	5	7200
4442	Hỏa Hỏa Hỏa Mộc	Tam thổ vi khưu, nhược mộc hà vi hoạn! Dùng tâm đối trường không.	Uống rượu ngâm thơ\nNgâm sướng khúc tiêu dao.	3	2304	6	7200
44442	Hỏa Hỏa Hỏa Hỏa Mộc	Tu vi đã đủ, tục niệm vẫn còn.	Bế quan\nTường xưa âm u, khổ tu nơi này, sớm thành chính quả.	4	2304	7	7200
43	Hỏa Thủy	Lò nhiều than, lửa hơi yếu! Đã là lúc lò lạnh.	Tắt lửa\nChờ bếp lạnh, chớ gò ép, ngày khác thần đan sẽ xuất hiện.	1	2304	4	7200
443	Hỏa Hỏa Thủy	Kim viết tùng cách, biến chất. Ngũ Kim, là cực điểm của Kim	Chiến Vũ\nĐại hiệp, bảo vệ đất nước, tạo lập chiến công!	2	2304	5	7200
4443	Hỏa Hỏa Hỏa Thủy	Chúng kim khắc mộc, thiên hạ vô kiên mộc! Luôn chiến thắng	Chiến đấu\nHôm nay chiến đấu ắt thắng.	3	2304	6	7200
44443	Hỏa Hỏa Hỏa Hỏa Thủy	Chúng kim sinh thủy, nhược thủy nan trầm! Võ học là vô cực	Vượt ải\nĐại hiệp hôm nay vượt ải, ắt chiến thắng.	4	2304	7	7200
45	Hỏa Thổ	Kim vượng đắc Hỏa, phương thành khí mãnh!	Kiên định ý chí\nKhổ tu ắt gặt thành quả.	1	2304	4	7200
445	Hỏa Hỏa Thổ	Chúng kim chi quang, hậu thổ nan yểm! Bá Lạc ngàn dặm đi tìm.	Chính trang đối Bá Lạc\nTài năng quân tử, dương danh Thần Châu.	2	2304	5	7200
4445	Hỏa Hỏa Hỏa Thổ	Chúng mộc phùng kim, lợi kim nan đoạn! Gặp may mắn	Độ kiếp\nĐại hiệp hôm nay gặp tử địa, thuận theo thiên mệnh sẽ vượt qua.	3	2304	6	7200
44445	Hỏa Hỏa Hỏa Hỏa Thổ	Mộc viết khúc trực, có sự sinh trưởng! Đặc tính phát triển!	Tìm kho báu\nHôm nay có vẻ gặp nhiều may mắn, nếu tìm kho báu nhất định có thu hoạch	4	2304	7	7200
44444	Hỏa Hỏa Hỏa Hỏa Hỏa 	Cự Mộc tại Thủy, trung lưu để trụ! Mộc không cốt ở to và cốt ở rễ sâu.	Vạn sự giai nghi\nThiên địa nhân, tam nguyên quy nhất, hà sự bất thành?	5	2304	8	7200
51	Thổ Kim	Cường mộc được hỏa, mới bớt ngang ngạnh! Thời vật quá thịnh, nghịch thiên.	Ẩn nhẫn\nSố mệnh rất khó nói, phải cẩn trọng.	1	2305	4	7200
551	Thổ Thổ Kim	Cường lâm chi thổ, mộc dĩ vi dưỡng! Hải khoát thiên không, nhậm quân hành.	Vạn sự giai nghi\nBiển rộng cá bơi, trời cao chim tung cánh.	2	2305	5	7200
5551	Thổ Thổ Thổ Kim	Tam thủy vi nhất, thế như sóng ập!	Đăng cao vọng viễn\nRời khỏi cõi hồng trần gió bụi.	3	2305	6	7200
55551	Thổ Thổ Thổ Thổ Kim	Cường thủy được mộc, mới tiết được thế mạnh! Một mực gò ép sẽ không tốt, tìm gỗ tốt.	Tĩnh đình nhàn tọa\nTơ lòng giăng mãi cũng chùng.	4	2305	7	7200
52	Thổ Mộc	Thủy viết nhuận hạ, mát mẻ dễ chịu, có hướng đi xuống	Tam nhân hành\nCó thầy ở bên chỉ giáo\nHôm nay đại hiệp có thể thỉnh giáo sư phụ hoặc truyền thụ đệ tử.	1	2305	4	7200
552	Thổ Thổ Mộc	Sông đổ vào biển, nạp vạn vật.	Hết duyên kiếp này\nDuyên ngàn năm, tình khó dứt, kiếp này được như ý.	2	2305	5	7200
5552	Thổ Thổ Thổ Mộc	Thủy vượng được Thổ! Tình mềm như nước, quấn quýt vấn vương.	Tình này do trời tác hợp\nThành ý của người thật khó mà từ chối.	3	2305	6	7200
55552	Thổ Thổ Thổ Thổ Mộc	Chúng hỏa khắc kim, kim bất tồn, thủy nan lưu! Phần không liệt diệm, thế uy thịnh.	Đoạn Tuyệt Đại Sự\nHôm nay không thể để mất cơ hội.	4	2305	7	7200
53	Thổ Thủy	Khí thế này, thật giống với khí thế của bậc quân vương	Cùng hảo hữu uống rượu\nHùng chí tương phùng.	1	2305	4	7200
553	Thổ Thổ Thủy	Hỏa vượng được Thủy!Có được người hiền ở bên thì đó là điều vô cùng may mắn	Tiệc quần thần\nNgười anh hùng không phải thánh nhân, phải có người hiền trợ giúp.	2	2305	5	7200
5553	Thổ Thổ Thổ Thủy	Tráng chí đã toại, đừng quên những người đã mất.	Thu phong tế\nKỳ vũ thu phong hồng nhược huyết, bạch cốt tam thiên, trọc tửu nan tế.	3	2305	6	7200
55553	Thổ Thổ Thổ Thổ Thủy	Hỏa viết viêm thượng; sức nóng lan tỏa	Tu luyện võ công\nNgày ngày luyện tập ắt gặt hái thành quả.	4	2305	7	7200
54	Thổ Hỏa	Cường Thổ được Kim, mới chế được hại! Đức chi cực, trở dã, kim chế chi.	Đi dạo bờ hồ\nCố thủ nhất ngung, nhật cửu tất cương, nhu đễ u u, nhàn vân liêu nhiễu, lộ như châu.	1	2305	4	7200
554	Thổ Thổ Hỏa	Chúng thổ, sơn dã, mộc vi triết! Hồng trần khó thành núi.	Tuyết y lăng tuyệt đỉnh\nBiển mây cuồn cuộn, như cõi bồng lai, buông lòng trước gió, tựa đăng tiên.	2	2305	5	7200
5554	Thổ Thổ Thổ Hỏa	Lo trước thiên hạ, vui sau thiên hạ.	Về tình cảm\nKhông vướng bận thế tục, giúp đỡ nhiều người.	3	2305	6	7200
55554	Thổ Thổ Thổ Thổ Hỏa	Tu vi đã thâm hậu, đi về phía tây không chút lo lắng.	Thu Thần Đơn\nMở lò luyện, thần đơn diệu kỳ, trở thành tiên.	4	2305	7	7200
55555	Thổ Thổ Thổ Thổ Thổ	Thổ viên giá tường, trồng trọt, đặc tính sinh hoá vạn vật. 	Xuân hoa thu thực\nVận trình hôm nay sẽ liên quan đến thu hoạch.	5	2305	8	7200
